Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
2166,2018,Hungarian Grand Prix,SAI,55,Renault,0 days 00:01:37.966000,0 days 00:00:33.619000,0 days 00:00:36.313000,0 days 00:00:28.034000,True,False,True
2167,2018,Hungarian Grand Prix,SAI,55,Renault,0 days 00:01:36.743000,0 days 00:00:32.955000,0 days 00:00:36.023000,0 days 00:00:27.765000,True,False,True
2347,2018,Hungarian Grand Prix,HUL,27,Renault,0 days 00:01:36.506000,0 days 00:00:32.777000,0 days 00:00:33.467000,0 days 00:00:30.262000,True,False,True
2424,2018,Hungarian Grand Prix,OCO,31,Force India,0 days 00:01:19.142000,0 days 00:00:28.462000,0 days 00:00:28.621000,0 days 00:00:22.059000,True,False,True
2602,2018,Austrian Grand Prix,SAI,55,Renault,0 days 00:01:05.137000,0 days 00:00:16.389000,0 days 00:00:28.691000,0 days 00:00:20.057000,True,False,True
2607,2018,Austrian Grand Prix,SAI,55,Renault,0 days 00:01:04.948000,0 days 00:00:16.558000,0 days 00:00:28.515000,0 days 00:00:19.875000,True,False,True
2610,2018,Austrian Grand Prix,SAI,55,Renault,0 days 00:01:04.561000,0 days 00:00:16.341000,0 days 00:00:28.380000,0 days 00:00:19.840000,True,False,True
2615,2018,Austrian Grand Prix,SAI,55,Renault,0 days 00:01:04.905000,0 days 00:00:16.375000,0 days 00:00:28.663000,0 days 00:00:19.867000,True,False,True
2618,2018,Austrian Grand Prix,SAI,55,Renault,0 days 00:01:04.725000,0 days 00:00:16.370000,0 days 00:00:28.527000,0 days 00:00:19.828000,True,False,True
2621,2018,Austrian Grand Prix,HUL,27,Renault,0 days 00:01:04.988000,0 days 00:00:16.420000,0 days 00:00:28.562000,0 days 00:00:20.006000,True,False,True
